Frame_num,Time,Record
150,6293.85,43
300,12546.02,32.07
450,18798.19,29.54
600,25050.37,31.36
750,31302.54,42.8
900,37554.71,33.15
1050,43806.88,31.87
1200,50059.05,34.8
1350,56311.22,46.07
1500,62563.39,39.87
1650,68815.56,35.8
1800,75067.73,34
1950,81319.91,41.36
2100,87572.08,41.29
2250,93824.25,39.5
2400,100076.42,34.33
2550,106328.59,40.67
2700,112580.76,38.53
2850,118832.93,37
3000,125085.1,35.07
3150,131337.27,34.4
3300,137589.45,43.47
3450,143841.62,37.33
3600,150093.79,36.07
3750,156345.96,32.92
3900,162598.13,42
4050,168850.3,36.07
4200,175102.47,37.53
4350,181354.64,37.93
4500,187606.81,41.4
4650,193858.99,44.53
4800,200111.16,47.07
4950,206363.33,36.33
5100,212615.5,40.4
5250,218867.67,45.21
5400,225119.84,36.36
5550,231372.01,38.43
5700,237624.18,35.53
5850,243876.35,45.33
6000,250128.53,40.27
6150,256380.7,40.13
6300,262632.87,36.93
6450,268885.04,41.73
6600,275137.21,38
6750,281389.38,37.21
6900,287641.55,39.62
7050,293893.72,46.25
7200,300145.89,37.93
,,38.50958333
